2023-12-14 13:38:36 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbd120>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:41 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbf550>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:46 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb166f24dc0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:51 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbe0e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:38:56 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbdde0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:01 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbda50>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:06 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbdea0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:11 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbcd00>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:16 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb166f25ed0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:21 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbcdc0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:26 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbc3a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:31 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbfee0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:36 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbf2b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:41 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb166f25540>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:46 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbd870>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:51 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbcb80>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:39:56 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbfe80>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:40:01 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb172bbeb00>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
