2023-12-14 13:40:14 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cedcc0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:40:19 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cef0a0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:40:24 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76ced570>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:40:29 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cecbb0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:40:34 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cedff0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:40:39 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cee950>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:40:44 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cef670>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:40:49 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cee980>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:40:54 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cec940>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:40:59 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76ced060>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2023-12-14 13:41:04 | ERROR | model_worker | heart beat error: HTTPConnectionPool(host='192.168.2.144', port=20001): Max retries exceeded with url: /receive_heart_beat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fab76cecaf0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
